"","x","y"
"4",-71.06724605,42.36452041
"5",-71.03625343,42.33085562
"10",-71.11004771,42.32517311
"17",-71.05811556,42.29073008
"18",-71.15422732,42.33965889
"23",-71.0291611,42.33238729
"25",-71.07428873,42.31098156
"26",-71.07744224,42.28120047
"30",-71.04536261,42.33710601
"35",-71.07506004,42.32201679
"44",-71.14672591,42.27945203
"47",-71.04994926,42.33129119
"57",-71.13934686,42.28401107
"62",-71.08510611,42.34539502
"63",-71.11295014,42.30477096
"80",-71.06973155,42.27402972
"90",-71.03239378,42.36622412
"94",-70.99945319,42.41474541
"105",-71.17018019,42.35235855
"113",-71.10346158,42.3197141
"114",-71.06193009,42.37389266
"120",-71.04669399,42.29043748
"129",-71.07740513,42.33879302
"133",-71.03554611,42.33678983
"134",-71.00491466,42.38831171
"135",-71.06100117,42.28691537
"149",-71.06674674,42.37905077
"162",-70.9763982,42.37513186
"178",-71.13974101,42.34721802
"180",-71.09399157,42.28563701
"182",-71.08087741,42.34246464
"190",-71.03119588,42.38353956
"198",-71.10454816,42.27356275
"199",-71.13660601,42.34747465
"203",-71.13465268,42.35488535
"208",-71.0764846,42.35438117
"212",-70.99778408,42.40657746
"213",-71.07759112,42.30989559
"216",-70.98698051,42.39518598
"217",-71.0500806,42.33714818
"225",-71.11690055,42.30547301
"227",-71.16613278,42.33636092
"233",-71.11331439,42.30935208
"237",-71.06847022,42.35900776
"238",-71.16796538,42.34519706
"246",-71.08986937,42.33852824
"251",-71.09103992,42.34299052
"259",-71.03633963,42.38157368
"265",-71.04829906,42.33513621
"272",-71.054962,42.2909953
"275",-71.06398064,42.35936047
"278",-71.08959882,42.31610363
"290",-71.07643905,42.29295935
"291",-71.14283947,42.29151075
"308",-71.04064002,42.38626357
"311",-70.97183839,42.388096
"317",-71.12231862,42.25946579
"318",-71.16146914,42.34328454
"322",-71.03117037,42.3755764
"330",-71.09021455,42.34890437
"333",-71.08656377,42.31777145
"340",-71.08845193,42.34444163
"346",-71.08543348,42.32638916
"352",-71.10921959,42.33411377
"355",-71.07519339,42.3469758
"369",-71.14451815,42.341449
"375",-71.16354197,42.27687442
"376",-71.11867222,42.25687857
"380",-71.12301132,42.24641579
"381",-71.10878125,42.31898336
"385",-71.13802756,42.34580889
"386",-71.05794087,42.31703549
"387",-71.02718897,42.3370208
"394",-71.08491601,42.30962869
"401",-71.02306277,42.41396441
"409",-71.03767021,42.37619402
"493",-71.10419051,42.34772488
"494",-71.08292943,42.343805
"495",-71.07896963,42.34631376
"496",-71.06775655,42.360324
"497",-71.05917021,42.36054079
"498",-71.05202685,42.36502213
"499",-71.06132812,42.28981404
"500",-71.05173565,42.29170576
"501",-71.05105998,42.28710883
"502",-71.05942251,42.27396892
"503",-71.10135733,42.2692672
"504",-71.08483934,42.27412989
"505",-71.09009447,42.27748309
"506",-71.12214943,42.28883839
"507",-71.12562503,42.28105602
"508",-71.13281971,42.29416393
"525",-71.14080846,42.28012023
"526",-71.13178136,42.3047481
"527",-71.11026114,42.30987552
"528",-71.11448833,42.32226043
"529",-71.16378084,42.29096366
"530",-71.1570344,42.2883183
"531",-71.15142511,42.26178508
"532",-71.16337256,42.27142736
"533",-71.14152338,42.24975646
"534",-71.11772776,42.24874013
"535",-71.10868564,42.26577261
"536",-71.02936924,42.39309017
"537",-71.04846145,42.38908839
"538",-71.03111473,42.39896866
"539",-71.035776,42.40460223
"540",-71.01051007,42.41966837
"541",-71.02144042,42.42290534
"556",-71.06796169,42.38145642
"557",-71.04316123,42.37403642
"558",-71.03388809,42.36975962
"559",-71.03121532,42.38002936
"560",-71.02813013,42.3336411
"561",-71.03201456,42.33449447
"562",-71.04279507,42.33393648
"563",-71.03951199,42.33639927
"564",-71.05117523,42.33465048
"565",-71.05413884,42.32561813
"566",-71.06115837,42.35659914
"567",-71.07006514,42.35020129
"568",-71.07489053,42.34012917
"569",-71.07947954,42.33760181
"570",-71.07704663,42.3249341
"571",-71.10364553,42.33265569
"572",-71.103744,42.33019207
"573",-71.09229596,42.32348573
"574",-71.08337412,42.32314987
"575",-71.08636893,42.3073773
"576",-71.0831728,42.30562761
"577",-71.07748112,42.31279176
"578",-71.05848787,42.32327009
"579",-71.05577023,42.31482157
"580",-71.06420395,42.31633523
"581",-71.05880013,42.30449965
"582",-71.06681395,42.30471333
"583",-71.07420421,42.29779076
"584",-71.06307338,42.30125408
"585",-71.05905982,42.29468509
"586",-71.06859036,42.29227556
"587",-71.08483789,42.28806704
"588",-71.09099937,42.28948758
"589",-71.0736429,42.28220093
"590",-71.06441095,42.28970819
"591",-71.16494213,42.35218303
"592",-71.03396336,42.37629585
"593",-71.14941213,42.3458519
"594",-71.11480617,42.27198656
"595",-71.15217322,42.33445724
"596",-71.13783068,42.35135764
"597",-71.12905701,42.35176344
"598",-71.13206284,42.34890824
"599",-71.09891956,42.34988947
"600",-71.00714281,42.42209303
"601",-71.00072585,42.40603387
"602",-70.99160946,42.37981758
"603",-71.16974217,42.35452227
"604",-71.05271738,42.36661235
"950",-71.08797918,42.35075126
"951",-70.97274583,42.36018953
"952",-71.09212619,42.34683726
"953",-71.0643384,42.36333793
"954",-71.08737924,42.29659964
"955",-71.1583351,42.25781235
"956",-71.16154029,42.26008442
"957",-71.0512496,42.37501322
"958",-71.13334657,42.25109084
"959",-70.98529061,42.37013692
"960",-70.97030252,42.37171624
"961",-71.09624881,42.32759476
"977",-71.06728078,42.35469464
"978",-71.06062655,42.35195741
"979",-71.0890657,42.31056364
"980",-71.06862124,42.31505377
"981",-71.09645245,42.3460238
"982",-71.00911961,42.39107873
"983",-70.99186559,42.37074207
"984",-71.14887843,42.34076757
"985",-70.99762371,42.40025669
"986",-71.08933824,42.34076065
"987",-71.07555352,42.35097758
"988",-71.08279989,42.34991204
"989",-71.08251549,42.35268079
"990",-71.05481231,42.32800045
"991",-71.16601059,42.35631226
"1123",-71.10394619,42.33981203
"1125",-71.05355182,42.33890095
"1126",-71.07210522,42.3573866
"1127",-71.05494992,42.3778723
"1128",-71.03946718,42.36956639
"1138",-71.10108096,42.30945693
"1140",-71.06915465,42.3392445
"1141",-71.08536007,42.31526531
"1142",-71.098933,42.31272546
"1150",-71.12045401,42.27362366
"1154",-71.03119597,42.40589304
"1157",-71.01527665,42.41108017
"1172",-71.02474186,42.41867173
"1181",-71.13045111,42.25370671
"1189",-71.01919726,42.38408477
"1191",-71.06312953,42.36614905
"1195",-71.07544871,42.33448869
"1196",-71.08047193,42.28051679
"1209",-71.11556385,42.29198498
"1210",-71.03154335,42.33702209
"1216",-71.06483377,42.34541222
"1223",-71.05702007,42.36451505
"1224",-71.05806945,42.37617775
"1226",-71.10254023,42.34886996
"1228",-71.09603885,42.27754444
"1232",-71.1125383,42.32679471
"1238",-71.08980366,42.27354371
"1244",-71.08074043,42.32336658
"1254",-71.06802099,42.34930343
"1260",-71.10171561,42.324667
"1262",-71.07906634,42.32067176
"1265",-71.08276166,42.28267947
"1266",-71.08530935,42.35156441
"1268",-71.07904189,42.32743721
"1273",-71.03742993,42.33474537
"1279",-71.1586327,42.33632515
"1335",-71.1031419,42.27947396
"1336",-71.10025294,42.28830743
"1340",-71.02487886,42.40279795
"1341",-71.01580074,42.4140907
"1344",-71.07136423,42.34230532
"1345",-71.08105369,42.33600036
"1346",-71.08688278,42.32330059
"1347",-71.08124941,42.29015955
"1348",-71.16092309,42.35400568
"1359",-70.99612845,42.41002167
"1360",-71.08704816,42.34494759
"1363",-71.06329933,42.35209667
"1382",-71.16379021,42.28363153
"1388",-71.11311471,42.26318789
"1391",-71.07266292,42.33531338
"1403",-71.02653623,42.39711669
"1404",-71.12180917,42.24323191
"1405",-70.98696588,42.39970001
"1417",-71.12290387,42.29239456
"1420",-71.03265852,42.39784852
"1423",-71.05745302,42.28663837
"1424",-71.09482213,42.3353964
"1482",-71.09992192,42.34414204
"1483",-71.08211456,42.3431892
"1484",-71.06812403,42.2868144
"1485",-71.0962345,42.28178227
"1486",-71.14482808,42.28454378
"1504",-71.10581534,42.32130426
"1505",-71.1529541,42.27906157
"1506",-71.10460981,42.26623068
"1507",-71.01395957,42.41644954
"1514",-71.03578849,42.37441781
"1515",-71.04508093,42.33140794
"1516",-71.07376966,42.34406287
"1520",-71.08064662,42.30379903
"1521",-71.06076889,42.30682513
"1522",-71.06385607,42.29407968
"1523",-71.13304541,42.35967554
"1524",-71.1685203,42.26986518
"1525",-71.13641677,42.34885636
"1526",-70.99470869,42.40723493
"1529",-71.03044686,42.41490615
"1534",-71.02985642,42.39714348
"1536",-71.11402648,42.25470635
"1538",-71.04578183,42.33389663
"1552",-71.06344589,42.37891601
"1564",-71.1057751,42.34613656
"1572",-71.07907586,42.2852221
"1576",-71.07952286,42.35337314
"1579",-71.07081417,42.29864844
"1580",-71.15554248,42.29392174
"1583",-71.03216871,42.378557
"1587",-71.07361488,42.35494725
"1594",-71.1092357,42.29988246
"1599",-71.09586417,42.34327617
"1600",-71.06833931,42.3632647
"1619",-71.02728532,42.38721422
"1620",-71.07053903,42.32354685
"1646",-71.08486587,42.34153191
"1648",-71.1266035,42.26879314
"1650",-71.02372318,42.41237402
"1651",-71.08036605,42.306418
"1660",-70.98093532,42.37357926
"1665",-71.02861151,42.40696113
"1673",-71.07842315,42.35227049
"1685",-71.0986548,42.34210675
"1692",-71.05422245,42.36024152
"1694",-71.08884274,42.33224488
"1695",-71.13832383,42.26408354
"1696",-71.04269329,42.36829731
"1697",-71.13669977,42.27675619
"1698",-71.13616381,42.34575518
"1701",-71.06598744,42.36027641
"1710",-71.05728371,42.35768968
"1713",-71.12734845,42.30955322
"1730",-71.08856325,42.34622979
"1731",-71.09694679,42.26601769
"1734",-71.16038679,42.26408239
"1736",-71.05774956,42.37832535
"1737",-71.05499951,42.32954515
"1741",-71.0688389,42.34358271
"1742",-71.10739827,42.33235814
"1743",-71.09251654,42.31241269
"1744",-71.07729803,42.29579706
"1745",-70.98703651,42.39259366
"1785",-71.10206158,42.34592433
"1790",-71.11387689,42.29736262
"1791",-71.08961564,42.34167516
"1811",-70.97497819,42.36613919
"1818",-71.07376965,42.27222443
"1821",-71.08318108,42.28589961
"1827",-71.03688752,42.38850585
"1833",-71.04168634,42.3817189
"1857",-71.01579367,42.42490947
"1861",-71.10395821,42.31308662
"1888",-71.14720762,42.35472596
"1900",-71.03399128,42.40822679
"1901",-71.06496779,42.37256566
"1911",-71.0657801,42.31113278
"1920",-71.15564443,42.27039645
"1927",-71.05895773,42.32034332
"1944",-70.98739955,42.39682744
"1952",-71.13322716,42.34965539
"1953",-71.11216657,42.2502731
"1957",-71.11741338,42.30412367
"1978",-71.06339463,42.29746207
"1982",-71.12475146,42.25235991
"2005",-71.07447645,42.32010742
"2030",-71.15630174,42.34675252
"2051",-71.11722197,42.28033779
"2059",-71.06232782,42.32579581
"2064",-71.0631221,42.31263253
"2072",-71.06095759,42.31830205
"2075",-71.0287222,42.34294712
"2118",-71.14902802,42.29019616
"2122",-71.04792047,42.30752574
"2141",-71.07939875,42.34814437
"2147",-71.08407585,42.29803949
"2148",-71.17912137,42.28533348
"2152",-71.06141642,42.3146707
"2156",-71.11824639,42.31187071
"2181",-71.10794392,42.32053096
"2197",-71.0629888,42.3541002
"2203",-71.13278412,42.28503085
"2240",-71.06074415,42.37934783
"2246",-71.07732185,42.34449486
"2247",-71.1570267,42.35306735
"2254",-71.03112772,42.33121474
"2260",-71.09645662,42.31477654
"2278",-71.04011804,42.3307778
"2285",-71.05247898,42.38252338
"2294",-71.12459648,42.35324828
"2307",-71.05362626,42.33503496
"2312",-71.062892,42.30918575
"2328",-71.04084541,42.31535059
"2329",-71.09274684,42.32946268
"2331",-71.05710506,42.36638039
"2338",-71.10011188,42.33111872
"2366",-71.0425335,42.34938518
"2374",-71.03326946,42.33130033
"2384",-71.10989052,42.31768109
"2385",-71.06851065,42.30897249
"2418",-70.98571871,42.37632278
"2424",-71.08318309,42.29483925
"2425",-71.02270792,42.4068779
"2426",-71.04998089,42.31485484
"2435",-71.05817923,42.33322675
"2442",-71.04979888,42.28312504
"2454",-71.14525248,42.34312066
"2456",-71.02106982,42.408137
"2474",-71.07565775,42.28723197
"2489",-71.05490708,42.32174676
"2497",-71.06931028,42.29470989
"2500",-71.00526985,42.40765119
"2507",-71.07382329,42.35305606
"2527",-71.15996531,42.28497813
"2535",-71.07312982,42.31856507
"2546",-70.9821789,42.37823837
"2569",-71.1661759,42.34842148
"2570",-71.03140261,42.37781472
"2571",-71.07015711,42.38362008
"2572",-71.03746198,42.37813142
"2573",-71.03719834,42.36766579
"2574",-71.0371073,42.37269533
"2575",-71.02582645,42.38029616
"2576",-71.01271008,42.3638986
"2577",-71.03669054,42.33323223
"2578",-71.03938196,42.33222397
"2579",-71.04171404,42.33690205
"2580",-71.05488264,42.33753783
"2581",-71.05140243,42.33048252
"2582",-71.05571317,42.34252915
"2583",-71.06014284,42.35465119
"2584",-71.06201582,42.34978419
"2585",-71.07235559,42.34686266
"2586",-71.07336483,42.34127969
"2596",-71.07167923,42.33742385
"2597",-71.06988142,42.32972933
"2598",-71.084031,42.332889
"2599",-71.08768811,42.33651448
"2600",-71.09989049,42.3199909
"2601",-71.09000655,42.32702321
"2602",-71.09341858,42.31827187
"2611",-71.10622313,42.35925061
"2612",-71.09655169,42.33846179
"2613",-71.08772156,42.34284402
"2614",-71.0699478,42.3568873
"2615",-71.05546928,42.36722634
"2616",-71.05376025,42.36503434
"2617",-71.05909852,42.37201723
"2618",-71.0639922,42.38045821
"2619",-71.05331614,42.28466488
"2620",-71.04598653,42.28090815
"2621",-71.06303998,42.28285794
"2622",-71.07524988,42.275944
"2623",-71.09821278,42.27330552
"2624",-71.09685209,42.26902697
"2625",-71.09135465,42.27953809
"2626",-71.08973447,42.28246875
"2627",-71.1177356,42.2924306
"2628",-71.11416989,42.28881205
"2629",-71.12877459,42.27850674
"2630",-71.12432677,42.27500347
"2631",-71.10610072,42.29450456
"2709",-71.08874324,42.32078151
"2710",-71.08381993,42.32000686
"2711",-71.08576666,42.3127004
"2712",-71.08075598,42.30063576
"2713",-71.08372286,42.30226474
"2714",-71.07957787,42.30834265
"2715",-71.07601995,42.31492464
"2716",-71.05515479,42.3076913
"2717",-71.05408115,42.31760649
"2718",-71.07123741,42.31545708
"2719",-71.06410513,42.30652737
"2720",-71.06921085,42.30309453
"2721",-71.07252379,42.30596409
"2722",-71.07489531,42.30336737
"2723",-71.07037016,42.30140051
"2724",-71.0577502,42.30153047
"2769",-71.13095398,42.28180947
"2770",-71.13592715,42.28207047
"2771",-71.13625511,42.29079745
"2772",-71.14116697,42.28793032
"2773",-71.10584083,42.30690283
"2774",-71.11431165,42.31867149
"2775",-71.05636349,42.29796423
"2776",-71.0740069,42.29517577
"2777",-71.08578165,42.29211128
"2778",-71.0921604,42.28629173
"2779",-71.08665243,42.28274244
"2780",-71.07334847,42.27913867
"2781",-71.0684792,42.28408609
"2782",-71.14065504,42.35931238
"2783",-71.16166522,42.35075467
"2784",-71.15791303,42.35045865
"2827",-71.16652404,42.28184915
"2828",-71.16303318,42.29833305
"2829",-71.1522297,42.29000568
"2830",-71.15596633,42.27802696
"2831",-71.14759044,42.27333173
"2832",-71.17440082,42.27539308
"2833",-71.13330992,42.24437139
"2834",-71.1396835,42.23886234
"2835",-71.12767683,42.24182218
"2836",-71.13169273,42.23370051
"2837",-71.11463599,42.26632499
"2838",-71.03154518,42.38996677
"2839",-71.0358555,42.39006954
"2840",-71.03403838,42.39154816
"2841",-71.03536924,42.39988662
"2842",-71.03405078,42.39680584
"2843",-71.03207356,42.41093178
"2844",-71.15185156,42.35610343
"2873",-71.02689909,42.41689287
"2874",-71.01050547,42.43188974
"2875",-71.06232498,42.377127
"2993",-71.15215045,42.35257469
"2994",-71.151819,42.3426667
"2995",-71.14754984,42.34375188
"2996",-71.10783302,42.2702351
"2997",-71.14211484,42.3415193
"2998",-71.14769481,42.33859432
"2999",-71.14751285,42.35262024
"3000",-71.14241207,42.35054606
"3001",-71.14489366,42.34760129
"3002",-71.12707981,42.35073623
"3003",-71.13337146,42.34783547
"3004",-71.13403253,42.35759349
"3005",-71.02276936,42.42889516
"3006",-71.00613059,42.41276832
"3007",-70.98748985,42.38341318
"3008",-71.00282299,42.37102066
"3009",-71.17195348,42.35104474
"3337",-71.14620557,42.25698074
"3458",-71.13640365,42.27455275
"3459",-71.09303171,42.29147193
"3460",-71.09493232,42.30265237
"3461",-71.06581329,42.36523887
"3462",-71.09031847,42.29517486
