"","STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","AFFGEOID","GEOID","NAME","LSAD","ALAND","AWATER","NAME.1","state","county","tract","blockgroup","Household.Income..Total.","Household.Income..Less.than..10.000","Household.Income...10.000.to..14.999","Household.Income...15.000.to..19.999","Household.Income...20.000.to..24.999","Household.Income...25.000.to..29.999","Household.Income...30.000.to..34.999","Household.Income...35.000.to..39.999","Household.Income...40.000.to..44.999","Household.Income...45.000.to..49.999","Household.Income...50.000.to..59.999","Household.Income...60.000.to..74.999","Household.Income...75.000.to..99.999","Household.Income...100.000.to..124.999","Household.Income...125.000.to..149.999","Household.Income...150.000.to..199.999","Household.Income...200.000.or.more","GEOID.1","percent","ID"
"1","25","025","020301","2","1500000US250250203012","250250203012","2","BG",57641,0,"Block Group 2, Census Tract 203.01, Suffolk County, Massachusetts",25,25,20301,"2",1101,47,12,32,0,24,13,37,17,17,119,155,88,174,93,106,167,"250250203012",0.0426884650317893,"4"
"2","25","025","060301","2","1500000US250250603012","250250603012","2","BG",53482,0,"Block Group 2, Census Tract 603.01, Suffolk County, Massachusetts",25,25,60301,"2",311,8,0,0,0,8,0,7,0,0,37,18,71,24,56,73,9,"250250603012",0.0257234726688103,"5"
"3","25","025","120700","1","1500000US250251207001","250251207001","1","BG",215081,0,"Block Group 1, Census Tract 1207, Suffolk County, Massachusetts",25,25,120700,"1",438,4,0,2,0,60,28,12,10,0,88,50,92,0,69,5,18,"250251207001",0.0091324200913242,"10"
"4","25","025","100601","3","1500000US250251006013","250251006013","3","BG",108563,0,"Block Group 3, Census Tract 1006.01, Suffolk County, Massachusetts",25,25,100601,"3",452,24,10,23,43,16,0,70,14,35,69,10,19,40,45,0,34,"250251006013",0.0530973451327434,"17"
"5","25","025","000502","3","1500000US250250005023","250250005023","3","BG",87336,0,"Block Group 3, Census Tract 5.02, Suffolk County, Massachusetts",25,25,502,"3",875,242,46,62,12,25,20,0,51,23,46,72,124,97,26,22,7,"250250005023",0.276571428571429,"18"
"6","25","025","060101","4","1500000US250250601014","250250601014","4","BG",72390,0,"Block Group 4, Census Tract 601.01, Suffolk County, Massachusetts",25,25,60101,"4",395,0,0,0,10,0,14,0,16,29,63,41,29,73,53,56,11,"250250601014",0,"23"
"7","25","025","090300","1","1500000US250250903001","250250903001","1","BG",134435,0,"Block Group 1, Census Tract 903, Suffolk County, Massachusetts",25,25,90300,"1",327,12,92,29,35,19,0,23,25,0,13,23,28,7,0,9,12,"250250903001",0.036697247706422,"25"
"8","25","025","100300","2","1500000US250251003002","250251003002","2","BG",105785,0,"Block Group 2, Census Tract 1003, Suffolk County, Massachusetts",25,25,100300,"2",184,5,6,8,12,29,15,3,19,31,24,7,0,5,20,0,0,"250251003002",0.0271739130434783,"26"
"9","25","025","060501","5","1500000US250250605015","250250605015","5","BG",74540,0,"Block Group 5, Census Tract 605.01, Suffolk County, Massachusetts",25,25,60501,"5",325,22,17,9,11,9,0,0,5,7,6,35,96,44,15,29,20,"250250605015",0.0676923076923077,"30"
"10","25","025","090600","1","1500000US250250906001","250250906001","1","BG",116339,0,"Block Group 1, Census Tract 906, Suffolk County, Massachusetts",25,25,90600,"1",299,37,19,18,11,0,28,7,14,0,51,27,34,20,25,8,0,"250250906001",0.123745819397993,"35"
